Protein ID,Isoelectric Point (pI)
sp|P08987|GTFB_STRMU,6.477507972717285
sp|P13470|GTFC_STRMU,9.095409202575684
sp|P37214|ERA_STRMU,7.857293891906738
sp|P49331|GTFD_STRMU,6.147273445129394
sp|Q8CWX6|METE_STRMU,5.482598304748534
sp|Q8DTS9|ENO_STRMU,4.669061851501465
sp|P10249|SUCP_STRMU,4.816672706604003
sp|P10539|DHAS_STRMU,5.202325248718262
sp|P11701|LSC_STRMU,5.1283777236938475
sp|P23504|SPAP_STRMU,5.202836799621582
sp|Q03174|FRUA_STRMU,5.027715873718263
sp|Q05888|UDPK_STRMU,9.301192283630368
sp|Q59938|ACNA_STRMU,5.32214183807373
sp|Q8CWX8|FTSY_STRMU,4.8511171340942365
sp|Q8DSQ6|IXTPA_STRMU,5.040106773376464
sp|Q8DSX2|GLMU_STRMU,6.230087852478028
sp|Q8DT66|RNC_STRMU,5.861714363098144
sp|Q8DT76|ADDA_STRMU,5.068412590026854
sp|Q8DTX6|PFKA_STRMU,5.397680854797363
sp|Q8DU67|GLYA_STRMU,5.598208808898924
sp|Q8DU94|KPRS2_STRMU,5.23898639678955
sp|Q8DUP3|CARB_STRMU,4.768984794616699
sp|Q8DUP4|CARA_STRMU,5.8519380569458
sp|Q8DVG8|RLMN_STRMU,7.627247047424317
sp|Q8DW15|GSHAB_STRMU,5.821131324768066
sp|Q8DW19|PTC_STRMU,5.043517112731934
sp|Q8DW43|ILVC_STRMU,5.011175727844238
sp|Q8DWG1|PYRG_STRMU,5.420928001403809
sp|Q8DWM2|KPRS1_STRMU,5.687104988098144
tr|I6L8Y0|I6L8Y0_STRMU,4.566183280944825
tr|I6L928|I6L928_STRMU,4.905227851867674
sp|O68575|PFLA_STRMU,7.653506660461426
sp|O68579|PPAC_STRMU,4.802065086364746
sp|O70055|DLTC_STRMU,4.0500284194946286
sp|P05428|TRMFO_STRMU,8.713885307312012
sp|P09738|SODM_STRMU,4.989690589904785
sp|P12655|PTS3B_STRMU,5.090409278869628
sp|P26283|LDH_STRMU,5.0065717697143555
sp|P26425|LACD1_STRMU,5.071538734436035
sp|P26426|PTLA_STRMU,4.711975288391113
sp|P27624|RECA_STRMU,5.242680931091308
sp|P27756|AGAL_STRMU,6.152388954162597
sp|P45595|PT1_STRMU,4.5690820693969725
sp|P45596|PTHP_STRMU,4.849809837341308
sp|P50976|PTLCB_STRMU,5.820108222961426
sp|P50978|LACG_STRMU,5.463841438293457
sp|P55045|FPG_STRMU,8.809362983703615
sp|P59125|RS5_STRMU,10.054440879821776
sp|P59156|RSMA_STRMU,5.557512092590332
sp|P59161|GPMA_STRMU,5.122239112854003
sp|P59255|PLSY_STRMU,10.040902519226073
sp|P59311|ARGC_STRMU,5.863817405700683
sp|P72478|PUR8_STRMU,5.477369117736816
sp|P72479|OPPF_STRMU,7.203967094421387
sp|P72481|UVRA_STRMU,6.420384788513183
sp|P72483|EFTU_STRMU,4.836395835876464
sp|P72484|TPIS_STRMU,5.049655723571777
sp|P95778|RMLA_STRMU,4.898634529113769
sp|P95780|RMLB_STRMU,5.55160083770752
sp|P95781|MUTX_STRMU,5.402512168884278
sp|P95783|ATPL_STRMU,8.19020862579346
sp|P95785|ATPF_STRMU,5.024362373352051
sp|P95787|ATPA_STRMU,4.851060295104979
sp|P95789|ATPB_STRMU,4.714703559875488
sp|P95803|DDL_STRMU,4.558282661437989
sp|P96993|GAL1_STRMU,5.552964973449707
sp|P96995|GALE_STRMU,5.436104011535644
sp|Q02420|PTMA_STRMU,4.339850425720216
sp|Q53526|DLTA_STRMU,5.2560949325561515
sp|Q54431|SRP54_STRMU,8.796791648864748
sp|Q54433|COAC_STRMU,7.835439109802247
sp|Q54443|DEXT_STRMU,4.990088462829589
sp|Q59928|ARGD_STRMU,5.504594993591308
sp|Q59931|GAPN_STRMU,5.118260383605956
sp|Q59934|PFL_STRMU,5.243874549865722
sp|Q59940|IDH_STRMU,5.964024543762207
tr|Q7ZAL0|Q7ZAL0_STRMU,5.451393699645995
sp|Q8CVC6|PRSA_STRMU,9.111332893371582
sp|Q8CWW5|CH10_STRMU,4.9316011428832995
sp|Q8CWW6|CH60_STRMU,4.676394081115721
sp|Q8CWX1|SYFA_STRMU,5.868535041809081
sp|Q8CWX2|SYFB_STRMU,4.9306348800659165
sp|Q8CWX7|UVRB_STRMU,4.889653968811035
sp|Q8CWX9|PEPT_STRMU,4.624727439880371
sp|Q8CWY0|SYA_STRMU,5.17242794036865
tr|Q8CWY3|Q8CWY3_STRMU,9.303642082214353
sp|Q8CWY4|NADE_STRMU,5.163447380065916
sp|Q8CWZ0|ASSY_STRMU,5.17140483856201
sp|Q8CWZ1|UPPP_STRMU,9.097601127624515
sp|Q8CWZ6|TIG_STRMU,4.458871269226075
sp|Q8DRR1|SYW_STRMU,5.965957069396972
tr|Q8DRR2|Q8DRR2_STRMU,5.659935951232909
sp|Q8DRS4|MNMA_STRMU,5.205849266052245
tr|Q8DRS9|Q8DRS9_STRMU,4.84014720916748
sp|Q8DRT7|ILVD_STRMU,5.190786933898924
sp|Q8DRV9|SYD_STRMU,5.287015342712402
sp|Q8DS08|DTD_STRMU,6.297101020812988
sp|Q8DS33|KAD_STRMU,5.1971529006958
sp|Q8DS36|RPOA_STRMU,4.759549522399902
sp|Q8DS44|SYY_STRMU,6.616422462463379
sp|Q8DS47|RPOC_STRMU,6.133575248718262
sp|Q8DS57|ACKA_STRMU,5.7853796005249025
sp|Q8DS90|DER_STRMU,5.490953636169433
sp|Q8DSB7|SYS_STRMU,5.087794685363768
tr|Q8DSC4|Q8DSC4_STRMU,5.136676216125487
tr|Q8DSC6|Q8DSC6_STRMU,5.547622108459472
sp|Q8DSC8|RNH3_STRMU,9.21796360015869
sp|Q8DSD1|MUTS2_STRMU,6.173192024230956
sp|Q8DSF0|SECA_STRMU,5.1218980789184565
sp|Q8DSF4|ALR_STRMU,5.839660835266113
sp|Q8DSG3|SYDND_STRMU,5.476630210876464
sp|Q8DSG4|GATC_STRMU,4.278521156311036
sp|Q8DSJ7|ISPT_STRMU,8.90464725494385
sp|Q8DSJ9|SYP_STRMU,4.9816194534301745
sp|Q8DSL1|SYV_STRMU,5.00463924407959
tr|Q8DSM8|Q8DSM8_STRMU,5.467763328552246
sp|Q8DSN0|FABM_STRMU,5.813628578186036
sp|Q8DSN2|FABH_STRMU,5.487656974792479
tr|Q8DSP0|Q8DSP0_STRMU,9.021592903137208
tr|Q8DSP1|Q8DSP1_STRMU,5.533526039123534
sp|Q8DSP4|MURC_STRMU,5.646124076843263
tr|Q8DSP6|Q8DSP6_STRMU,8.780029869079591
sp|Q8DSP8|YIDC2_STRMU,10.246943473815914
tr|Q8DSR4|Q8DSR4_STRMU,6.294486427307128
sp|Q8DST2|MURE_STRMU,7.752008628845215
sp|Q8DST6|UPP_STRMU,6.231906700134277
sp|Q8DST7|CLPP_STRMU,5.46560344696045
sp|Q8DSU6|KTHY_STRMU,5.360735511779786
sp|Q8DSV3|SERC_STRMU,5.148157691955565
tr|Q8DSV7|Q8DSV7_STRMU,8.532535743713382
tr|Q8DSV9|Q8DSV9_STRMU,8.787959480285647
tr|Q8DSW8|Q8DSW8_STRMU,5.069890403747558
sp|Q8DSX7|FTSK_STRMU,5.66436939239502
sp|Q8DSY1|PYRH_STRMU,5.474981880187988
sp|Q8DSZ0|COAE_STRMU,7.878826332092285
sp|Q8DT12|SYT_STRMU,5.264961814880371
tr|Q8DT18|Q8DT18_STRMU,5.714785575866699
sp|Q8DT23|METK_STRMU,5.241146278381346
sp|Q8DT24|MURA2_STRMU,5.907753944396972
tr|Q8DT31|Q8DT31_STRMU,5.21636447906494
tr|Q8DT38|Q8DT38_STRMU,5.079041481018065
sp|Q8DT49|DNLJ_STRMU,5.529604148864746
sp|Q8DT52|GLGB_STRMU,5.409617042541503
sp|Q8DT53|GLGC_STRMU,4.72192211151123
sp|Q8DT57|MURA1_STRMU,5.652205848693847
sp|Q8DT87|MIAA_STRMU,6.673090934753419
sp|Q8DT90|RNZ_STRMU,7.301616477966309
sp|Q8DT95|APT_STRMU,4.77597599029541
sp|Q8DT96|METAA_STRMU,5.631686973571777
tr|Q8DTC2|Q8DTC2_STRMU,5.257345390319824
tr|Q8DTC3|Q8DTC3_STRMU,8.299675941467285
